decomp_temp,pyrol_temp,gasifier_temp,air_to_biomass_ratio,gasifier_length,gasifier_diameter,fuel_cell_temp,Acell,fuel_utilization_factor,depleted_fuel_frac,Power,CO2_emitted,H2_produced,current_density,cell_current
551.0,641.0,869.0,0.98,2.24,0.5,923.4300000000001,0.29304,0.99,0.11,2141.357160159188,1886.39243,81.9153487,10486.98149967968,3073.1050586661336
414.0,632.0,703.0,0.87,2.24,1.32,947.21,0.37042,0.59,0.22,1378.055295756473,1710.22815,77.8902368,3013.0522196585907,1116.0948032059352
514.0,693.0,769.0,0.84,1.49,1.43,884.47,0.29873,0.66,0.34,1166.3236328788666,2880.5179,96.3568873,4063.1339775198717,1213.7800131045112
519.0,683.0,792.0,0.96,2.28,1.2,939.74,0.36872,0.99,0.28,2447.514332213089,2683.42242,94.0158707,7192.6304990597655,2652.0667176133165
549.0,685.0,868.0,0.86,1.18,0.56,901.48,0.37955,0.57,0.34,1419.3359983906516,2710.6431,94.2327808,3207.3773148981686,1217.3600598695998
585.0,669.0,706.0,0.63,1.76,1.34,973.6600000000001,0.35676,0.77,0.13,2143.847236058018,2364.31982,88.8779254,5645.9305522710865,2014.242183828233
578.0,647.0,717.0,0.79,2.51,1.26,926.1300000000001,0.35298,0.76,0.24,1644.518488196862,1963.38087,82.6601647,4392.169897181815,1550.3481303072372
549.0,675.0,782.0,0.64,2.43,0.73,889.0,0.28848,0.75,0.36,1665.4943843489712,2498.82837,91.1126948,7436.131136193728,2145.1751101691666
566.0,605.0,844.0,0.94,2.11,1.92,877.0899999999999,0.25696,0.61,0.29,1249.762601757228,1423.48426,72.0221661,6320.31060333332,1624.06701263253
543.0,617.0,727.0,0.97,1.9,1.44,898.79,0.32449,0.67,0.36,1316.1012891035432,1500.63968,73.5904796,4008.675736909561,1300.7751898697834
519.0,663.0,702.0,0.87,2.19,0.9,978.3900000000001,0.39753,0.68,0.37,1890.2711455693307,2240.4804,86.8414203,3867.3538660175846,1537.3891823579704
549.0,607.0,726.0,0.81,2.25,0.72,964.97,0.29014,0.67,0.13,1761.8920833605998,1354.61932,69.8999308,5990.62112140886,1738.1188121655666
522.0,623.0,718.0,0.77,1.48,1.79,972.9100000000001,0.3868,0.57,0.39,1133.9174830746724,1585.82468,75.4975644,2168.052167363682,838.6025783362722
493.0,611.0,750.0,0.98,2.01,0.5,938.7,0.25085,0.52,0.27,1265.8287457903166,1402.35917,71.0068142,4989.1778148231115,1251.5352548483777
554.0,634.0,771.0,0.89,1.3,1.21,984.8,0.35415,0.67,0.16,1500.2909861161495,1757.11841,79.0399901,3459.4948232266515,1225.1800916457187
461.0,623.0,878.0,0.76,1.74,1.67,999.9000000000001,0.25864,0.52,0.28,1085.5999792449554,1660.86181,78.0772385,3449.0386628705137,892.0593597648295
443.0,680.0,889.0,0.83,2.13,0.98,936.54,0.36684,0.68,0.36,1443.632901697513,2645.46138,94.4989949,3435.0865540093173,1260.127151472778
559.0,666.0,767.0,0.86,2.57,0.64,937.8699999999999,0.31129,0.83,0.3,2037.4224301611673,2309.38186,88.095839,7298.733847864449,2272.0228595017243
488.0,601.0,743.0,0.69,2.46,1.7,985.9100000000001,0.25443,0.61,0.18,1512.5374846584327,1322.87251,69.350209,5629.067039846679,1432.2035269481905
501.0,699.0,780.0,0.98,1.95,1.14,898.4200000000001,0.25303,0.6,0.15,1057.6289134522126,3007.64404,97.9311802,4587.123309930751,1160.6798111117778
501.0,604.0,777.0,0.7,2.86,1.16,994.8599999999999,0.3203,0.51,0.21,1570.937672652841,1360.9616,70.3932954,4024.2268189473584,1288.9598501088387
538.0,657.0,743.0,0.66,2.08,0.82,985.0899999999999,0.365,0.87,0.34,1740.4484143746893,2136.59151,85.408909,3934.89250683723,1436.2357649955889
524.0,601.0,713.0,0.94,1.3,1.03,947.54,0.36634,0.55,0.19,1621.4985979740475,1281.02797,67.972558,3701.9932916674757,1356.188222469463
553.0,656.0,744.0,0.78,2.66,1.84,943.46,0.28209,0.86,0.19,1368.750369260526,2154.65389,86.2166461,4744.393346180979,1338.3459190241924
554.0,663.0,777.0,0.77,1.96,1.87,969.44,0.31392,0.93,0.23,1767.8623602380608,2293.94869,88.4051525,5159.62855900325,1619.7105972423003
584.0,666.0,820.0,0.83,2.85,0.68,954.94,0.39129,0.96,0.28,2251.619404093208,2337.12844,89.1422906,5201.339501234037,2035.2321334378667
505.0,697.0,840.0,0.81,1.91,1.48,877.23,0.33222,0.85,0.24,1347.2744512131483,2998.55332,98.4121936,4209.117590272454,1398.3530458403147
433.0,649.0,879.0,0.78,1.25,0.52,991.1800000000001,0.30131,0.51,0.26,1432.8350537673448,2017.88962,84.122413,3965.1989429528094,1194.7540935011111
495.0,628.0,721.0,0.74,1.66,1.3,925.79,0.30089,0.63,0.4,1343.939879880451,1651.59659,76.7564375,4356.963335846655,1310.9666981229002
415.0,628.0,848.0,0.91,2.69,1.23,877.9200000000001,0.28942,0.87,0.13,1576.8620333608987,1712.38587,78.7084221,7530.943382738811,2179.605633832267
444.0,644.0,712.0,0.84,2.96,0.56,960.69,0.38871,0.78,0.36,2414.349367826271,1894.70525,81.1192906,5698.070589256029,2214.897018749711
503.0,684.0,851.0,0.87,2.88,1.79,918.8699999999999,0.29733,0.62,0.28,1487.309637764753,2761.77414,95.8521501,5098.6670744836465,1515.9866812562225
441.0,607.0,796.0,0.82,1.58,1.68,973.45,0.3601,0.63,0.38,1282.720627419097,1406.67542,71.5129275,2724.5642989115063,981.1156040380333
419.0,616.0,769.0,0.65,1.06,1.3,935.8900000000001,0.26125,0.51,0.26,1232.8386988461368,1494.12435,73.5433367,4491.210883616227,1173.3288433447392
499.0,659.0,812.0,0.72,1.17,0.96,937.03,0.39958,0.69,0.27,1811.5332227466474,2197.26652,86.8652835,3935.1458872756257,1572.4055936375944
597.0,606.0,788.0,0.84,2.78,0.51,892.8900000000001,0.32075,0.91,0.18,1541.1879977274004,1354.00778,69.9931132,5197.9149241150435,1667.2312119099001
580.0,625.0,790.0,0.7,1.41,0.8,932.5999999999999,0.27198,0.52,0.22,1136.393919709923,1615.33343,76.1152829,3836.4044837506303,1043.4252914904964
541.0,671.0,770.0,0.9,1.17,1.43,923.5799999999999,0.36323,0.75,0.11,1546.136182027947,2423.90168,90.1352429,3736.5818588161164,1357.238628577778
413.0,686.0,713.0,0.9,1.61,1.88,880.5699999999999,0.39592,0.96,0.37,1683.0532830518148,2718.82766,93.9737843,4407.654886571922,1745.0787226915554
478.0,667.0,701.0,0.63,1.9,0.98,919.29,0.28251,0.86,0.39,1903.2676061198226,2318.22643,88.0398935,8566.486228627884,2420.1180244496636
413.0,672.0,803.0,0.86,2.77,0.68,916.1600000000001,0.27604,0.92,0.36,1797.3631236659753,2445.95149,90.5193908,7946.046630895175,2193.4267119923043
559.0,667.0,708.0,0.91,1.24,1.91,850.27,0.29861,0.63,0.19,1287.5620129224062,2329.62237,88.441601,5660.810861940379,1690.3747314840166
595.0,619.0,817.0,0.84,1.03,0.56,986.46,0.30484,0.52,0.24,1204.30722190167,1520.18278,73.861908,3159.6355205838645,963.1832920947852
496.0,657.0,835.0,0.66,2.92,1.38,897.01,0.34095,0.96,0.1,1616.6002959242433,2201.15945,87.30124,5073.586400222125,1729.8392831557335
518.0,628.0,851.0,0.92,2.62,1.19,866.7,0.37367,0.89,0.11,1781.5031547375927,1710.95537,78.7186734,5466.986000104097,2042.8486586588979
523.0,649.0,728.0,0.74,1.2,0.64,923.8199999999999,0.30348,0.61,0.35,1435.6028284137678,1980.02875,82.5734754,4623.923062200253,1403.268170916533
563.0,678.0,725.0,0.99,1.02,1.37,964.69,0.25765,0.91,0.3,1908.7491492339216,2541.91141,91.2996376,8440.87266865409,2174.790843078726
522.0,639.0,737.0,0.85,1.63,0.87,971.23,0.29257,0.73,0.14,1647.62054554898,1817.97478,79.8519019,5404.308174907771,1581.1384427327666
527.0,605.0,859.0,0.9,2.23,0.72,939.25,0.28739,0.5,0.24,1351.3763630182714,1379.5099,71.242892,4558.100722068219,1309.9525665151853
434.0,677.0,713.0,0.85,1.39,1.94,991.45,0.38847,0.59,0.26,1561.7263172140933,2533.0464,91.4584417,3085.797990353705,1198.7399453127036
599.0,624.0,769.0,0.83,1.75,0.83,888.3199999999999,0.36939,0.71,0.36,1757.873341145329,1596.20587,75.6370786,4972.879398547124,1836.9319210293222
465.0,655.0,806.0,0.92,1.72,1.27,867.1099999999999,0.37135,0.79,0.12,1448.576560019884,2138.79632,86.1281908,4038.9554405731487,1499.8661028568388
574.0,692.0,787.0,0.73,1.5,1.98,929.6099999999999,0.34348,0.5,0.15,1070.131109433742,2880.61907,96.5464266,2571.0232935113486,883.095080855278
590.0,624.0,803.0,0.76,2.95,0.52,911.6199999999999,0.34216,0.88,0.36,1722.4088167208963,1603.18962,75.8948865,5189.154512066176,1775.521107848563
443.0,688.0,751.0,0.85,2.25,1.37,900.0999999999999,0.33292,0.7,0.33,1282.8715242490998,2774.07101,94.964696,3558.255003570149,1184.614255788574
589.0,661.0,757.0,0.97,1.57,1.85,932.22,0.3836,0.79,0.33,2100.423165587744,2241.77673,87.5763833,5370.790736594124,2060.2353265575057
557.0,677.0,731.0,0.98,2.82,1.16,963.29,0.39218,0.85,0.19,1857.465456003055,2534.29927,91.4866062,3985.9257549966906,1563.200362594602
513.0,674.0,712.0,0.85,2.38,1.87,924.0799999999999,0.30063,0.54,0.18,1095.949321650732,2481.61301,90.9214032,3306.9551201187514,994.1699177613002
526.0,602.0,860.0,0.96,2.55,0.64,935.5799999999999,0.31464,0.63,0.36,1336.6661893505118,1342.24488,70.2582297,3880.561309517544,1220.9798104266
495.0,606.0,803.0,0.92,1.38,1.42,947.8299999999999,0.29846,0.53,0.3,1164.7809652951842,1387.87318,71.1423588,3394.080845743409,1012.9973692205779
552.0,691.0,728.0,0.79,2.62,0.79,953.4000000000001,0.31701,0.73,0.34,1539.4079530795505,2810.62177,94.8503059,4455.9607783942665,1412.5841263587665
482.0,681.0,744.0,0.76,1.08,1.63,887.1099999999999,0.34955,0.53,0.13,1402.8105316882775,2618.10085,92.6904789,4018.557066806857,1404.686622702337
505.0,611.0,786.0,0.64,1.06,1.21,998.9200000000001,0.29673,0.51,0.14,1486.362265541045,1433.15578,72.173307,4119.888101159808,1222.4943962571497
559.0,638.0,866.0,0.63,2.98,0.57,948.05,0.27153,0.81,0.17,1302.672512229942,1848.30708,81.5018406,4549.455795011601,1235.3137320195
512.0,685.0,873.0,0.67,2.72,1.51,933.8800000000001,0.27179,0.58,0.19,1416.8276461563075,2776.13046,96.3063646,5115.138625576623,1390.2435270454703
534.0,622.0,872.0,0.91,1.56,1.75,969.02,0.29913,0.85,0.12,1833.8460209547447,1642.93801,77.5989793,6081.074466744206,1819.0318052371942
533.0,626.0,753.0,0.91,2.39,1.49,903.4200000000001,0.31394,1.0,0.31,1529.2173407018852,1648.77205,77.0109321,5124.634168264637,1608.827650785
447.0,653.0,715.0,0.98,2.36,0.83,994.1700000000001,0.28164,0.8,0.29,1926.0568564306545,2056.50343,83.9529356,6260.339587594355,1763.1620414500742
568.0,617.0,856.0,0.69,1.22,1.82,874.0799999999999,0.25351,0.93,0.21,1315.0953816353567,1558.80669,75.5095815,8132.489360706044,2061.6673778325894
478.0,689.0,858.0,0.89,1.81,1.33,909.3499999999999,0.29601,0.78,0.35,1280.0581876069705,2830.8769,96.5357237,4315.138142615039,1277.3240415954776
488.0,668.0,825.0,0.73,1.99,0.51,850.76,0.27282,0.92,0.32,1263.6380635668156,2358.76834,89.0670802,7168.163105330445,1955.6182583962523
541.0,696.0,719.0,0.65,2.3,1.16,953.6700000000001,0.26286,0.53,0.19,1381.5343397820861,2922.6179,96.4279521,4971.644345253177,1306.84643259325
466.0,665.0,744.0,0.71,1.64,0.7,851.4100000000001,0.33486,0.89,0.14,1586.5525863986718,2281.19257,87.4924281,6606.7628297875235,2212.34060118265
448.0,691.0,787.0,0.67,1.42,0.63,955.23,0.28859,0.87,0.21,1464.0311876959595,2814.76782,94.974317,4628.0552599350285,1335.61046746465
